pc: 0.55   ps: 0.14666666666666664   ph: 0.14666666666666664   pp: 0.1566666666666667   p_coef: 0.0015   add(sqrt(0.855), add(X1, X1))   length: 6   depth: 2   mae: 0.023714728141288367
pc: 0.7000000000000002   ps: 0.08999999999999993   ph: 0.08999999999999993   pp: 0.11999999999999998   p_coef: 0.001   sub(add(X5, X1), -0.902)   length: 5   depth: 2   mae: 0.02371861675934
pc: 0.7000000000000002   ps: 0.0866666666666666   ph: 0.0866666666666666   pp: 0.1266666666666666   p_coef: 0.0005   add(add(X1, X1), 0.924)   length: 5   depth: 2   mae: 0.023718930587060504
pc: 0.55   ps: 0.13666666666666663   ph: 0.13666666666666663   pp: 0.17666666666666672   p_coef: 0.001   add(div(X1, 0.504), sqrt(-0.861))   length: 6   depth: 2   mae: 0.023724768061552843
pc: 0.8500000000000003   ps: 0.026666666666666543   ph: 0.026666666666666543   pp: 0.0966666666666666   p_coef: 0.0015   add(X1, sub(X1, -0.925))   length: 5   depth: 2   mae: 0.023725202002471055
pc: 0.8500000000000003   ps: 0.0499999999999999   ph: 0.0499999999999999   pp: 0.049999999999999885   p_coef: 0.001   add(add(X1, X1), sqrt(0.855))   length: 6   depth: 2   mae: 0.02372877745269461
pc: 0.55   ps: 0.12666666666666662   ph: 0.12666666666666662   pp: 0.19666666666666674   p_coef: 0.001   add(sqrt(-0.855), add(X1, X1))   length: 6   depth: 2   mae: 0.023731555362966526
pc: 0.6500000000000001   ps: 0.10333333333333328   ph: 0.10333333333333328   pp: 0.1433333333333333   p_coef: 0.0015   sub(add(0.224, X1), sub(-0.700, X1))   length: 7   depth: 2   mae: 0.02373221845650284
pc: 0.9000000000000004   ps: 0.009999999999999893   ph: 0.009999999999999893   pp: 0.07999999999999985   p_coef: 0.0005   add(0.923, add(X1, X1))   length: 5   depth: 2   mae: 0.02374929238819416
pc: 0.55   ps: 0.14666666666666664   ph: 0.14666666666666664   pp: 0.1566666666666667   p_coef: 0.0005   add(sqrt(-0.856), add(X1, X1))   length: 6   depth: 2   mae: 0.02375079433421796
pc: 0.6500000000000001   ps: 0.09666666666666661   ph: 0.09666666666666661   pp: 0.15666666666666662   p_coef: 0.001   add(sqrt(0.856), add(X1, X1))   length: 6   depth: 2   mae: 0.023752854051843686
pc: 0.6500000000000001   ps: 0.09666666666666661   ph: 0.09666666666666661   pp: 0.15666666666666662   p_coef: 0.0015   add(0.922, div(X1, 0.500))   length: 5   depth: 2   mae: 0.023756503496584227
pc: 0.6000000000000001   ps: 0.1333333333333333   ph: 0.1333333333333333   pp: 0.1333333333333333   p_coef: 0.0015   add(add(X1, X1), sqrt(0.851))   length: 6   depth: 2   mae: 0.023759307736112522
pc: 0.5   ps: 0.15333333333333332   ph: 0.15333333333333332   pp: 0.19333333333333336   p_coef: 0.0005   add(X1, add(0.926, X1))   length: 5   depth: 2   mae: 0.023760703936169743
pc: 0.7000000000000002   ps: 0.07999999999999992   ph: 0.07999999999999992   pp: 0.14   p_coef: 0.0015   sub(add(X1, X1), -0.926)   length: 5   depth: 2   mae: 0.023762196453889738
pc: 0.5   ps: 0.15666666666666665   ph: 0.15666666666666665   pp: 0.18666666666666673   p_coef: 0.0015   add(add(X1, X1), 0.923)   length: 5   depth: 2   mae: 0.02377160890540286
pc: 0.6000000000000001   ps: 0.12999999999999998   ph: 0.12999999999999998   pp: 0.13999999999999993   p_coef: 0.0015   add(sqrt(0.851), add(X1, X1))   length: 6   depth: 2   mae: 0.023773676310123785
pc: 0.6500000000000001   ps: 0.11333333333333329   ph: 0.11333333333333329   pp: 0.1233333333333333   p_coef: 0.0015   add(add(0.926, X1), X1)   length: 5   depth: 2   mae: 0.023782331758027252
pc: 0.55   ps: 0.1433333333333333   ph: 0.1433333333333333   pp: 0.16333333333333333   p_coef: 0.0015   add(add(X1, X1), sqrt(0.857))   length: 6   depth: 2   mae: 0.023813404055320744
pc: 0.8000000000000003   ps: 0.0499999999999999   ph: 0.0499999999999999   pp: 0.09999999999999992   p_coef: 0.0015   add(sqrt(X1), add(X1, 0.683))   length: 6   depth: 2   mae: 0.02382228489381365
pc: 0.8000000000000003   ps: 0.043333333333333224   ph: 0.043333333333333224   pp: 0.11333333333333329   p_coef: 0.0015   sub(X1, sub(-0.922, X1))   length: 5   depth: 2   mae: 0.023832097663320048
pc: 0.6000000000000001   ps: 0.1233333333333333   ph: 0.1233333333333333   pp: 0.15333333333333332   p_coef: 0.001   add(add(X1, X1), 0.926)   length: 5   depth: 2   mae: 0.02383467657085359
pc: 0.5   ps: 0.16   ph: 0.16   pp: 0.17999999999999997   p_coef: 0.001   add(sub(X1, -0.926), X1)   length: 5   depth: 2   mae: 0.023861433898033347
pc: 0.6500000000000001   ps: 0.11333333333333329   ph: 0.11333333333333329   pp: 0.1233333333333333   p_coef: 0.001   sub(X1, sub(-0.922, X1))   length: 5   depth: 2   mae: 0.023863832214914293
